,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,CountPath_Min,MaxNesting_Mean,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE
916,0,0,1,0,0,3,1,0,0,22,0.18,3,0,2,0,7,1,2.86363636363636,0,5,1,0.0,0.5,0,1,1
1017,0,0,1,0,0,2,1,0,0,1,1.3,2,0,2,0,12,1,2.0,2,5,1,0.0,0.5,0,2,0
782,1,0,1,0,0,1,5,0,10,25,0.23,0,66,2,0,22,1,1.92307692307692,0,0,1,0.84375,0.25,0,3,3
1307,0,0,1,0,0,2,1,0,0,3,0.28,3,0,2,0,6,1,1.0,1,12,1,0.6,0.5,0,2,0
623,2,0,1,1,0,4,2,0,6,10,0.62,1,83,3,0,2,1,3.58333333333333,1,1,1,1.73333333333333,0.0,0,3,1
831,6,0,1,7,0,2,10,0,35,60,0.63,1,87,3,3,14,2,2.78787878787879,0,0,1,0.519480519480519,0.0,0,2,3
666,3,0,1,0,0,3,5,0,13,17,0.23,0,70,2,0,27,2,3.8,1,2,1,1.84615384615385,1.0,0,1,1
901,1,0,1,0,0,4,1,1,4,5,0.27,0,100,2,4,26,1,11.2857142857143,1,4,1,0.888888888888889,1.0,0,1,1
727,0,0,1,0,0,5,2,1,3,18,0.5,3,90,2,0,9.5,2,3.73684210526316,1,4,1,1.09090909090909,1.0,0,1,2
1268,1,1,2,9,6,1,5,0,11,22,0.13,2,85,3,0,19,2,5.08333333333333,0,2,1,1.43333333333333,0.0,0,1,2
738,1,0,1,3,1,4,1,0,0,2,0.53,3,33,2,0,19,1,6.0,2,5,1,0.6,1.0,0,1,3
745,1,0,1,0,0,2,1,0,1,2,0.33,5,66,2,0,24,1,4.0,0,5,1,0.0,1.0,0,5,1
753,0,0,1,1,0,4,2,0,3,19,0.27,0,60,2,0,26,2,3.68421052631579,0,1,1,0.0,1.0,0,7,3
1312,0,6,1,0,0,1,1,0,1,4,0.21,2,40,2,9.5,4,1,2.5,0,0,1,1.58333333333333,1.0,0,2,0
