,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Min,Del_lines,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE
8,3,0,1,1,5,2,116,2,1,8,0.66,0,84,7,0,0,1,2.0625,1,1,0,192,0.7,0,1,1
292,,,,,,,,,,,,,,,,,,,,,,,,,,
515,8,7,1,0,7,2,635,11,11,8,0.85,0,94,3,4,30,3,3.74285714285714,0,0,0,1,0.391304347826087,1,4,5
516,2,1,1,1,4,1,141,3,2,3,0.84,0,92,1,2,8,3,2.73076923076923,0,0,0,1,0.333333333333333,0,3,2
569,3,1,3,0,11,6,192,1,3,4,0.41,4,79,1,2,28,2,5.76923076923077,2,1,0,1,0.263157894736842,0,3,3
589,0,0,2,0,4,3,47,1,0,1,0.42,1,50,2,0,13,1,2.8,1,2,0,1,0.25,0,5,3
590,0,0,1,0,7,3,107,1,2,0,1.57,1,0,3,0,10,1,2.5,1,2,0,1,0.461538461538462,0,4,2
742,9,6,1,15,3,2,307,11,0,12,0.36,0,82,2,7,15,2,3.28169014084507,0,0,0,1,0.266666666666667,0,2,6
802,0,0,17,1,12,26,43,1,0,0,0.35,9,0,1,0,0,1,16.0,16,6,5,1,0.5,0,2,2
1168,1,0,1,0,4,1,88,2,2,1,0.43,1,86,5,0,9,1,1.46666666666667,1,1,0,1,0.4,0,1,2
416,,,,,,,,,,,,,,,,,,,,,,,,,,
1236,2,1,1,0,3,1,105,8,3,2,0.42,2,100,2,0,36,2,1.61538461538462,0,0,0,1,0.4,0,5,2
1201,0,0,1,0,2,1,98,2,3,2,0.33,1,52,2,0,10,2,1.37037037037037,0,0,0,31,0.5,0,3,3
468,0,0,1,0,3,1,82,1,1,1,2.73,0,87,5,4,1,1,5.0,0,2,0,56,0.5,0,1,2
6,1,0,1,0,6,1,67,1,1,2,1.22,0,76,7,0,4,1,1.42857142857143,0,2,0,2,0.666666666666667,0,2,0
264,0,3,1,0,5,1,362,1,0,10,1.0,0,91,2,1,9,1,7.69642857142857,1,1,0,2,0.222222222222222,0,3,4
563,0,0,1,0,9,2,113,3,1,0,0.81,1,93,2,0,22,2,3.44444444444444,0,1,0,0,0.461538461538462,0,4,6
365,0,0,1,0,7,2,315,8,10,8,1.09,1,100,5,34,5,2,3.09090909090909,0,0,0,2,0.285714285714286,0,4,5
534,2,0,1,0,5,2,495,6,0,16,0.67,0,93,1,0,21,2,2.4,0,1,0,2,0.375,0,4,4
549,0,0,2,1,9,3,363,4,10,4,0.63,1,92,1,1,29,3,3.3125,1,1,0,3,0.346153846153846,3,5,3
584,,,,,,,,,,,,,,,,,,,,,,,,,,
185,,,,,,,,,,,,,,,,,,,,,,,,,,
238,,,,,,,,,,,,,,,,,,,,,,,,,,
279,0,0,1,0,7,2,36.0,2,8,3,1.19,0,79,6,2,12,1,3.88,0,1,0,0,0.333333333333333,0,5,4
610,,,,,,,,,,,,,,,,,,,,,,,,,,
291,,,,,,,,,,,,,,,,,,,,,,,,,,
631,,,,,,,,,,,,,,,,,,,,,,,,,,
809,9,0,1,0,7,2,509,9,2,1,0.79,0,100,3,1,47,2,3.82539682539683,0,0,0,0,0.238095238095238,3,2,6
582,,,,,,,,,,,,,,,,,,,,,,,,,,
583,,,,,,,,,,,,,,,,,,,,,,,,,,
588,,,,,,,,,,,,,,,,,,,,,,,,,,
1020,0,0,1,0,4,2,27,1,0,0,0.38,5,0,3,0,15,1,1.5,1,2,0,0,0.333333333333333,0,3,0
187,7,0,1,0,4,2,323,11,4,13,0.54,1,100,5,1,19,2,3.5,0,0,0,1,0.380952380952381,3,5,5
272,0,0,1,0,9,2,187,1,2,4,1.16,1,87,5,17,10,2,4.45454545454545,1,1,0,1,0.285714285714286,0,5,3
396,,,,,,,,,,,,,,,,,,,,,,,,,,
371,,,,,,,,,,,,,,,,,,,,,,,,,,
493,,,,,,,,,,,,,,,,,,,,,,,,,,
474,0,0,1,0,7,2,33,1,0,0,1.43,2,100,1,0,2,2,3.0,3,7,1,63,0.2,0,1,1
