,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Min,Del_lines,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE
583,,,,,,,,,,,,,,,,,,,,,,,,,,
582,0,0,1,0,7,3,84,1,3,0,0.17,1,62,2,3,4,1,2.125,0,1,0,53,0.625,0,1,0
534,,,,,,,,,,,,,,,,,,,,,,,,,,
1236,,,,,,,,,,,,,,,,,,,,,,,,,,
569,3,1,3,0,11,6,192,1,3,4,0.41,4,79,1,2,21.5,2,5.76923076923077,2,1,0,76,0.263157894736842,0,3,0
584,0,0,2,0,5,3,49,1,0,2,0.48,1,30,2,3,6,1,4.6,3,2,0,51,0.375,0,3,3
1168,1,0,1,0,4,1,88,2,2,1,0.43,1,86,5,0,6,1,1.46666666666667,1,1,0,10,0.4,0,1,2
1201,0,0,1,0,2,1,98,2,3,2,0.33,1,52,2,0,4,2,1.37037037037037,0,0,0,31,0.357142857142857,0,3,3
7,1,0,1,0,7,2,133,2,8,1,0.17,0,100,3,0,6.0,2,2.0,0,0,0,217,0.6875,0,2,2
493,,,,,,,,,,,,,,,,,,,,,,,,,,
538,,,,,,,,,,,,,,,,,,,,,,,,,,
416,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1,0,1,0,6,1,67,1,1,2,1.22,0,76,7,0,4,3,1.42857142857143,0,2,0,66,0.666666666666667,0,2,0
468,0,0,1,0,3,1,82,1,1,1,15.6,0,87,5,4,1,1,5.0,0,2,0,56,0.428571428571429,0,1,3
549,0,0,2,1,9,3,363,4,10,4,0.63,1,92,1,1,4.0,3,3.3125,1,1,0,359,0.346153846153846,3,5,5
589,0,0,2,0,4,3,47,1,0,1,0.42,1,50,2,0,11.0,1,2.8,1,2,0,64,0.25,0,5,5
396,,,,,,,,,,,,,,,,,,,,,,,,,,
8,3,0,1,1,5,2,116,2,1,8,0.17,0,84,7,0,5.0,1,2.0625,1,1,0,192,0.7,0,1,3
185,,,,,,,,,,,,,,,,,,,,,,,,,,
1020,0,0,1,0,4,2,27,1,0,0,0.38,5,0,3,0,15,2,1.5,1,2,0,7,0.333333333333333,0,3,0
187,7,0,1,0,4,2,323,11,4,13,0.54,1,100,5,1,2.5,2,3.5,0,0,0,106,0.380952380952381,3,5,5
292,,,,,,,,,,,,,,,,,,,,,,,,,,
742,,,,,,,,,,,,,,,,,,,,,,,,,,
279,0,0,1,0,7,2,227,2,8,3,0.94,0,79,6,2,12,2,3.88,0,1,0,0,0.333333333333333,0,5,4
371,3,0,1,0,6,1,244,2,5,7,1.03,0,84,6,1,0,1,2.38888888888889,0,1,0,30,0.4,0,5,1
802,,,,,,,,,,,,,,,,,,,,,,,,,,
272,0,0,1,0,9,2,187,1,2,4,0.94,1,87,5,17,10,2,4.45454545454545,1,1,0,233,0.285714285714286,0,5,3
631,,,,,,,,,,,,,,,,,,,,,,,,,,
264,0,3,1,0,5,1,362,1,0,10,1.0,0,91,2,1,5,1,7.69642857142857,1,1,0,17,0.222222222222222,0,3,1
365,0,0,1,0,7,2,315,8,10,8,1.65,1,100,5,34,4,2,3.09090909090909,0,0,0,167,0.285714285714286,0,4,5
588,,,,,,,,,,,,,,,,,,,,,,,,,,
590,0,0,1,0,7,3,107,1,2,0,6.79,1,0,3,0,6,1,2.5,1,2,0,49,0.461538461538462,0,4,4
516,2,1,1,1,4,1,141,3,2,3,0.84,0,92,1,2,4,3,2.73076923076923,0,0,0,52,0.333333333333333,0,3,3
474,0,0,1,0,7,2,33,1,0,0,0.94,2,100,1,0,8,2,3.0,3,7,1,63,0.2,0,1,2
291,7,0,1,0,6,2,650,18,23,8,0.77,0,96,4,43,1.0,2,2.93827160493827,0,0,0,952,0.315789473684211,0,5,5
515,8,7,1,0,7,2,635,11,11,8,0.85,0,94,3,4,4.0,3,3.74285714285714,0,0,0,263,0.391304347826087,1,4,5
238,,,,,,,,,,,,,,,,,,,,,,,,,,
610,,,,,,,,,,,,,,,,,,,,,,,,,,
563,0,0,1,0,9,2,113,3,1,0,0.81,1,93,2,0,10.0,2,3.44444444444444,0,1,0,25,0.461538461538462,0,4,6
809,9,0,1,0,7,2,509,9,2,1,0.79,0,100,3,1,13.0,2,3.82539682539683,0,0,0,202,0.238095238095238,3,2,6
